Date,Open,High,Low,Close,Adj Close,Volume
3/29/2021,2028,2058,2016,2056,2056,1229800
3/30/2021,2058,2071,2044,2056,2056,1036600
3/31/2021,2059,2093,2057,2069,2069,1459900
4/1/2021,2098,2143,2097,2138,2138,1699000
4/5/2021,2153,2237,2152,2226,2226,2164900
4/6/2021,2223,2238,2215,2225,2225,1353000
4/7/2021,2226,2255,2225,2250,2250,1289900
4/8/2021,2278,2284,2258,2265,2265,1358300
4/9/2021,2257,2289,2254,2286,2286,1044400
4/12/2021,2266,2275,2238,2255,2255,1565900
4/13/2021,2261,2277,2256,2267,2267,1165500
4/14/2021,2275,2278,2249,2255,2255,1011000
4/15/2021,2277,2307,2266,2297,2297,1373600
4/16/2021,2303,2306,2284,2298,2298,1129800
4/19/2021,2292,2318,2288,2302,2302,1234400
4/20/2021,2308,2310,2272,2294,2294,1088700
4/21/2021,2285,2295,2259,2293,2293,1196500
4/22/2021,2293,2304,2256,2268,2268,1054800
4/23/2021,2283,2326,2278,2315,2315,1433500
4/26/2021,2320,2341,2314,2327,2327,1041700
4/27/2021,2336,2337,2304,2307,2307,1598600
4/28/2021,2407,2452,2375,2380,2380,2986400
4/29/2021,2410,2437,2402,2430,2430,1977700
4/30/2021,2404,2427,2402,2410,2410,1957100
5/3/2021,2403,2420,2385,2395,2395,1689400
5/4/2021,2370,2379,2312,2354,2354,1756000
5/5/2021,2368,2382,2351,2357,2357,1090300
5/6/2021,2351,2383,2342,2381,2381,1030900
5/7/2021,2400,2416,2390,2399,2399,1163600
5/10/2021,2375,2378,2335,2342,2342,1300300
5/11/2021,2292,2322,2283,2309,2309,1605500
5/12/2021,2262,2285,2230,2239,2239,1746700
5/13/2021,2261,2277,2243,2262,2262,1333500
5/14/2021,2292,2321,2283,2316,2316,1331200
5/17/2021,2309,2323,2295,2321,2321,992100
5/18/2021,2337,2343,2303,2303,2303,865100
5/19/2021,2264,2317,2264,2309,2309,967500
5/20/2021,2328,2360,2321,2356,2356,1191600
5/21/2021,2366,2369,2342,2345,2345,1141600
5/24/2021,2367,2418,2360,2407,2407,1062200
5/25/2021,2420,2433,2403,2409,2409,941900
5/26/2021,2413,2443,2413,2434,2434,1092800
5/27/2021,2437,2440,2402,2403,2403,1948100
5/28/2021,2422,2428,2408,2412,2412,1205400
6/1/2021,2422,2438,2405,2430,2430,958300
6/2/2021,2435,2442,2404,2421,2421,857900
6/3/2021,2395,2410,2383,2405,2405,917300
6/4/2021,2423,2454,2418,2452,2452,1297400
6/7/2021,2451,2468,2441,2466,2466,1192500
6/8/2021,2480,2494,2468,2483,2483,1253000
6/9/2021,2500,2505,2487,2491,2491,1006300
6/10/2021,2494,2523,2494,2522,2522,1561700
6/11/2021,2525,2527,2498,2514,2514,1262000
6/14/2021,2513,2528,2501,2527,2527,1127500
6/15/2021,2530,2537,2513,2521,2521,1109100
6/16/2021,2525,2530,2483,2514,2514,1315800
6/17/2021,2510,2544,2510,2527,2527,1287800
6/18/2021,2514,2528,2492,2511,2511,2665300
6/21/2021,2515,2541,2503,2529,2529,1312800
6/22/2021,2529,2545,2521,2540,2540,1049200
6/23/2021,2531,2556,2525,2529,2529,984700
6/24/2021,2541,2551,2539,2546,2546,946700
6/25/2021,2539,2550,2529,2540,2540,1674200
6/28/2021,2540,2547,2519,2536,2536,1405500
6/29/2021,2535,2540,2509,2520,2520,1047500
6/30/2021,2513,2516,2495,2506,2506,1200300
7/1/2021,2497,2529,2497,2527,2527,856000
7/2/2021,2537,2577,2535,2574,2574,1058000
7/6/2021,2589,2598,2568,2595,2595,1067500
7/7/2021,2607,2613,2595,2602,2602,834000
7/8/2021,2565,2601,2561,2584,2584,989000
7/9/2021,2579,2597,2579,2591,2591,755300
7/12/2021,2597,2615,2592,2611,2611,847200
7/13/2021,2618,2641,2613,2620,2620,830900
7/14/2021,2638,2660,2638,2642,2642,895600
7/15/2021,2650,2652,2612,2625,2625,829300
7/16/2021,2633,2644,2616,2637,2637,742800
7/19/2021,2623,2625,2571,2585,2585,1285500
7/20/2021,2600,2640,2584,2622,2622,954200
7/21/2021,2616,2652,2612,2652,2652,737100
7/22/2021,2653,2670,2648,2667,2667,680400
7/23/2021,2705,2776,2694,2756,2756,1318900
7/26/2021,2765,2794,2753,2793,2793,1152600
7/27/2021,2800,2800,2702,2736,2736,2108200
7/28/2021,2771,2794,2727,2728,2728,2734400
